train_recon_loss_step,step,epoch,train_main_loss_step,train_loss_step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_main_loss_epoch,val_recon_loss_epoch,val_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,103,,,,3192.38818359375,431416160.0,862825920.0,,,,,,
,104,,,,3192.3720703125,424420224.0,848834048.0,,,,,,
,105,,,,3192.40087890625,451002112.0,901997824.0,,,,,,
,106,,,,3192.4033203125,488912992.0,977819584.0,,,,,,
,107,,,,3192.427978515625,367187328.0,734368256.0,,,,,,
,108,,,,3192.394287109375,355082080.0,710157760.0,,,,,,
,109,,,,3192.41259765625,417212928.0,834419456.0,,,,,,
,110,,,,3192.392333984375,462450848.0,924895296.0,,,,,,
,111,,,,3192.403564453125,387189280.0,774372160.0,,,,,,
,112,,,,3192.42041015625,435537024.0,871067648.0,,,,,,
,113,,,,3192.402099609375,371678304.0,743350208.0,,,,,,
,114,,,,3192.38623046875,370232832.0,740459264.0,,,,,,
,115,,,,3192.457763671875,452471200.0,904936000.0,,,,,,
,116,,,,3192.39794921875,416287040.0,832567680.0,,,,,,
,117,,,,3192.4140625,425498304.0,850990208.0,,,,,,
,118,,,,3192.39794921875,395778080.0,791549760.0,,,,,,
,119,,,,3192.4150390625,367069568.0,734132736.0,,,,,,
,479,5,,,,,,816292864.0,3192.407958984375,408149632.0,,,
,479,5,,,,,,,,,3029.114013671875,415643584.0,831280960.0
2918.095947265625,499,6,851482560.0,425744192.0,,,,,,,,,
2828.252685546875,549,6,924435584.0,462220608.0,,,,,,,,,
,120,,,,3027.0751953125,346613280.0,693220480.0,,,,,,
,121,,,,3027.0966796875,435397440.0,870788800.0,,,,,,
,122,,,,3027.115966796875,359529536.0,719052992.0,,,,,,
,123,,,,3027.063720703125,430684448.0,861362816.0,,,,,,
,124,,,,3027.047119140625,423708320.0,847410560.0,,,,,,
,125,,,,3027.074462890625,450239488.0,900472896.0,,,,,,
,126,,,,3027.073974609375,488122048.0,976238016.0,,,,,,
,127,,,,3027.102294921875,366528608.0,733051136.0,,,,,,
,128,,,,3027.064453125,354430656.0,708855232.0,,,,,,
,129,,,,3027.08642578125,416508320.0,833010560.0,,,,,,
,130,,,,3027.065185546875,461676064.0,923346048.0,,,,,,
,131,,,,3027.075927734375,386509664.0,773013248.0,,,,,,
,132,,,,3027.093017578125,434802112.0,869598144.0,,,,,,
,133,,,,3027.075927734375,371009312.0,742012544.0,,,,,,
,134,,,,3027.060302734375,369595200.0,739184320.0,,,,,,
,135,,,,3027.132080078125,451705952.0,903405824.0,,,,,,
,136,,,,3027.069580078125,415560224.0,831114368.0,,,,,,
,137,,,,3027.090576171875,424803680.0,849601280.0,,,,,,
,138,,,,3027.07275390625,395084672.0,790163264.0,,,,,,
,139,,,,3027.087158203125,366403872.0,732801664.0,,,,,,
,559,6,,,,,,814885248.0,3027.0810546875,407445632.0,,,
,559,6,,,,,,,,,2881.639892578125,414980320.0,829954688.0
2729.991455078125,599,7,886533376.0,443269408.0,,,,,,,,,
,140,,,,2877.486572265625,345860800.0,691715840.0,,,,,,
,141,,,,2877.508544921875,434540800.0,869075840.0,,,,,,
,142,,,,2877.526611328125,358776672.0,717547584.0,,,,,,
,143,,,,2877.4775390625,429831232.0,859656704.0,,,,,,
,144,,,,2877.46142578125,422878208.0,845750656.0,,,,,,
,145,,,,2877.486328125,449350176.0,898694592.0,,,,,,
,146,,,,2877.483642578125,487199584.0,974393408.0,,,,,,
,147,,,,2877.511962890625,365760576.0,731515392.0,,,,,,
,148,,,,2877.4765625,353671264.0,707336768.0,,,,,,
,149,,,,2877.494384765625,415686752.0,831367744.0,,,,,,
,150,,,,2877.476318359375,460772544.0,921539328.0,,,,,,
,151,,,,2877.4873046875,385717216.0,771428672.0,,,,,,
,152,,,,2877.501953125,433945152.0,867884544.0,,,,,,
,153,,,,2877.48486328125,370229216.0,740452672.0,,,,,,
,154,,,,2877.471923828125,368851808.0,737697856.0,,,,,,
,155,,,,2877.5419921875,450813472.0,901621184.0,,,,,,
,156,,,,2877.480712890625,414712640.0,829419520.0,,,,,,
,157,,,,2877.4990234375,423993728.0,847981696.0,,,,,,
,158,,,,2877.485595703125,394276256.0,788546752.0,,,,,,
,159,,,,2877.49658203125,365627648.0,731249536.0,,,,,,
,639,7,,,,,,813243776.0,2877.49169921875,406624800.0,,,
,639,7,,,,,,,,,2732.572265625,414238016.0,828470592.0
2648.173583984375,649,8,747970560.0,373987936.0,,,,,,,,,
2575.48046875,699,8,812154112.0,406079616.0,,,,,,,,,
,160,,,,2748.949462890625,344989280.0,689973056.0,,,,,,
,161,,,,2748.970703125,433548704.0,867091904.0,,,,,,
,162,,,,2748.986328125,357904832.0,715804160.0,,,,,,
,163,,,,2748.942138671875,428842848.0,857680192.0,,,,,,
,164,,,,2748.927978515625,421916768.0,843828032.0,,,,,,
,165,,,,2748.949462890625,448319936.0,896634368.0,,,,,,
,166,,,,2748.9453125,486131072.0,972256640.0,,,,,,
,167,,,,2748.971435546875,364871072.0,729736640.0,,,,,,
,168,,,,2748.939697265625,352791680.0,705577856.0,,,,,,
,169,,,,2748.95556640625,414735136.0,829464768.0,,,,,,
,170,,,,2748.939453125,459725888.0,919446272.0,,,,,,
,171,,,,2748.947021484375,384799424.0,769593344.0,,,,,,
,172,,,,2748.96240234375,432952544.0,865899584.0,,,,,,
,173,,,,2748.947998046875,369325728.0,738645952.0,,,,,,
,174,,,,2748.9375,367990880.0,735976256.0,,,,,,
,175,,,,2748.99951171875,449779584.0,899553664.0,,,,,,
,176,,,,2748.941650390625,413730880.0,827456256.0,,,,,,
,177,,,,2748.960693359375,423055616.0,846105728.0,,,,,,
,178,,,,2748.949462890625,393339840.0,786674176.0,,,,,,
,179,,,,2748.958251953125,364728608.0,729451712.0,,,,,,
,719,8,,,,,,811342464.0,2748.954345703125,405674048.0,,,
,719,8,,,,,,,,,2604.843017578125,413335456.0,826665600.0
2508.6884765625,749,9,804077504.0,402041248.0,,,,,,,,,
2442.39306640625,799,9,759434752.0,379719808.0,,,,,,,,,
,180,,,,2638.31396484375,343977664.0,687950080.0,,,,,,
,181,,,,2638.333251953125,432396672.0,864788096.0,,,,,,
,182,,,,2638.348876953125,356892640.0,713780032.0,,,,,,
,183,,,,2638.311767578125,427695200.0,855385152.0,,,,,,
,184,,,,2638.296875,420800320.0,841595392.0,,,,,,
,185,,,,2638.312255859375,447123616.0,894241984.0,,,,,,
,186,,,,2638.30810546875,484890080.0,969774912.0,,,,,,
,187,,,,2638.3330078125,363838400.0,727671552.0,,,,,,
,188,,,,2638.305419921875,351770624.0,703536000.0,,,,,,
,189,,,,2638.320068359375,413630176.0,827255104.0,,,,,,
,190,,,,2638.304443359375,458510432.0,917015616.0,,,,,,
,191,,,,2638.3115234375,383733888.0,767462528.0,,,,,,
,192,,,,2638.32421875,431799968.0,863594688.0,,,,,,
,193,,,,2638.313232421875,368276800.0,736548352.0,,,,,,
