train_recon_loss_step,epoch,train_loss_step,train_main_loss_step,step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_main_loss_epoch,train_loss_epoch
,,,,97,4572.7900390625,438933888.0,877858624.0,,,,,,
,,,,98,4572.79150390625,379353664.0,758698176.0,,,,,,
,,,,99,4572.72705078125,336199488.0,672389824.0,,,,,,
,4,,,399,,,,411994336.0,823979456.0,4572.76904296875,,,
,4,,,399,,,,,,,4315.5693359375,821729024.0,410868832.0
4165.6103515625,5,462032256.0,924056192.0,449,,,,,,,,,
,,,,100,4415.4404296875,353748704.0,707488576.0,,,,,,
,,,,101,4415.50341796875,459336160.0,918663488.0,,,,,,
,,,,102,4415.53369140625,375445440.0,750882048.0,,,,,,
,,,,103,4415.49365234375,506429344.0,1012849856.0,,,,,,
,,,,104,4415.50634765625,414495296.0,828981760.0,,,,,,
,,,,105,4415.47412109375,416196288.0,832383744.0,,,,,,
,,,,106,4415.5263671875,447246624.0,894484416.0,,,,,,
,,,,107,4415.50244140625,439041152.0,878073472.0,,,,,,
,,,,108,4415.4169921875,392203840.0,784398848.0,,,,,,
,,,,109,4415.4814453125,424619456.0,849230080.0,,,,,,
,,,,110,4415.46923828125,441151168.0,882293504.0,,,,,,
,,,,111,4415.51904296875,407973280.0,815937728.0,,,,,,
,,,,112,4415.46630859375,434763328.0,869517824.0,,,,,,
,,,,113,4415.4697265625,372792608.0,745576384.0,,,,,,
,,,,114,4415.5234375,387342976.0,774677120.0,,,,,,
,,,,115,4415.48486328125,415404800.0,830800768.0,,,,,,
,,,,116,4415.46337890625,382574464.0,765140096.0,,,,,,
,,,,117,4415.5068359375,438044064.0,876079296.0,,,,,,
,,,,118,4415.50927734375,378552960.0,757097088.0,,,,,,
,,,,119,4415.4453125,335449024.0,670889216.0,,,,,,
,5,,,479,,,,411140480.0,822272320.0,4415.48681640625,,,
,5,,,479,,,,,,,4182.5078125,820385792.0,410197088.0
4066.16357421875,6,389679936.0,779351744.0,499,,,,,,,,,
3961.289306640625,6,402935296.0,805862656.0,549,,,,,,,,,
,,,,120,4237.0224609375,352840000.0,705671552.0,,,,,,
,,,,121,4237.0830078125,458246848.0,916485248.0,,,,,,
,,,,122,4237.11279296875,374483360.0,748958272.0,,,,,,
,,,,123,4237.0751953125,505305120.0,1010601792.0,,,,,,
,,,,124,4237.08740234375,413473184.0,826937920.0,,,,,,
,,,,125,4237.05615234375,415188288.0,830368128.0,,,,,,
,,,,126,4237.10595703125,446185728.0,892363008.0,,,,,,
,,,,127,4237.08203125,437984064.0,875959680.0,,,,,,
,,,,128,4237.0,391224992.0,782441536.0,,,,,,
,,,,129,4237.06298828125,423615136.0,847221824.0,,,,,,
,,,,130,4237.05224609375,440113472.0,880218496.0,,,,,,
,,,,131,4237.09814453125,406971840.0,813935232.0,,,,,,
,,,,132,4237.048828125,433742400.0,867476352.0,,,,,,
,,,,133,4237.05078125,371860896.0,743713344.0,,,,,,
,,,,134,4237.10302734375,386365760.0,772723072.0,,,,,,
,,,,135,4237.0654296875,414411488.0,828814528.0,,,,,,
,,,,136,4237.04541015625,381593280.0,763178112.0,,,,,,
,,,,137,4237.0869140625,437000640.0,873992832.0,,,,,,
,,,,138,4237.08984375,377614272.0,755220096.0,,,,,,
,,,,139,4237.02734375,334569376.0,669130304.0,,,,,,
,6,,,559,,,,410139488.0,820270592.0,4237.0673828125,,,
,6,,,559,,,,,,,4024.264404296875,818778944.0,409393504.0
3851.312744140625,7,493994016.0,987980352.0,599,,,,,,,,,
,,,,140,4048.98779296875,351689984.0,703371840.0,,,,,,
,,,,141,4049.049072265625,456867808.0,913727488.0,,,,,,
,,,,142,4049.079833984375,373265568.0,746523008.0,,,,,,
,,,,143,4049.04541015625,503881792.0,1007755456.0,,,,,,
,,,,144,4049.052490234375,412179296.0,824350464.0,,,,,,
,,,,145,4049.02490234375,413912416.0,827816704.0,,,,,,
,,,,146,4049.0732421875,444842688.0,889677248.0,,,,,,
,,,,147,4049.052734375,436645888.0,873283648.0,,,,,,
,,,,148,4048.9677734375,389986080.0,779964032.0,,,,,,
,,,,149,4049.028076171875,422343840.0,844679552.0,,,,,,
,,,,150,4049.020751953125,438799808.0,877591488.0,,,,,,
,,,,151,4049.064208984375,405704224.0,811400320.0,,,,,,
,,,,152,4049.015625,432450080.0,864892032.0,,,,,,
,,,,153,4049.019775390625,370681728.0,741355328.0,,,,,,
,,,,154,4049.070068359375,385128800.0,770249472.0,,,,,,
,,,,155,4049.034423828125,413154176.0,826300224.0,,,,,,
,,,,156,4049.015869140625,380351360.0,760694592.0,,,,,,
,,,,157,4049.05322265625,435679776.0,871351424.0,,,,,,
,,,,158,4049.056884765625,376426176.0,752844224.0,,,,,,
,,,,159,4048.992919921875,333456160.0,666904192.0,,,,,,
,7,,,639,,,,408872416.0,817736704.0,4049.03515625,,,
,7,,,639,,,,,,,3851.562255859375,816723840.0,408365792.0
3739.98583984375,8,380499008.0,760990528.0,649,,,,,,,,,
3647.0400390625,8,388626400.0,777245504.0,699,,,,,,,,,
,,,,160,3880.126220703125,350324224.0,700640704.0,,,,,,
,,,,161,3880.181396484375,455229504.0,910451264.0,,,,,,
,,,,162,3880.21533203125,371819168.0,743630592.0,,,,,,
,,,,163,3880.181884765625,502190624.0,1004373504.0,,,,,,
,,,,164,3880.186767578125,410642400.0,821277056.0,,,,,,
,,,,165,3880.15771484375,412396800.0,824785856.0,,,,,,
,,,,166,3880.20556640625,443247200.0,886486656.0,,,,,,
,,,,167,3880.189208984375,435056160.0,870104576.0,,,,,,
,,,,168,3880.10888671875,388514400.0,777021056.0,,,,,,
,,,,169,3880.1630859375,420833696.0,841659648.0,,,,,,
,,,,170,3880.1611328125,437239392.0,874471040.0,,,,,,
,,,,171,3880.1982421875,404198560.0,808389376.0,,,,,,
,,,,172,3880.152099609375,430914912.0,861822080.0,,,,,,
,,,,173,3880.156494140625,369281376.0,738555008.0,,,,,,
,,,,174,3880.2021484375,383659648.0,767311552.0,,,,,,
,,,,175,3880.17041015625,411660768.0,823313792.0,,,,,,
,,,,176,3880.151611328125,378876320.0,757744896.0,,,,,,
,,,,177,3880.1826171875,434110688.0,868213632.0,,,,,,
,,,,178,3880.1884765625,375015168.0,750022592.0,,,,,,
,,,,179,3880.127197265625,332134272.0,664260800.0,,,,,,
,8,,,719,,,,407367264.0,814726848.0,3880.170166015625,,,
,8,,,719,,,,,,,3683.272216796875,813728704.0,406868064.0
3543.166748046875,9,471676288.0,943345472.0,749,,,,,,,,,
3433.479248046875,9,390600672.0,781194496.0,799,,,,,,,,,
,,,,180,3693.963134765625,348851616.0,697695872.0,,,,,,
,,,,181,3694.0146484375,453461984.0,906916608.0,,,,,,
,,,,182,3694.04248046875,370259296.0,740511232.0,,,,,,
,,,,183,3694.015869140625,500366048.0,1000724736.0,,,,,,
,,,,184,3694.0166015625,408984608.0,817961856.0,,,,,,
,,,,185,3693.990966796875,410762016.0,821516672.0,,,,,,
,,,,186,3694.036865234375,441526048.0,883044736.0,,,,,,
,,,,187,3694.023193359375,433341312.0,866675264.0,,,,,,
,,,,188,3693.9462890625,386927232.0,773847104.0,,,,,,
,,,,189,3693.9951171875,419204960.0,838402560.0,,,,,,
,,,,190,3693.997314453125,435556096.0,871104832.0,,,,,,
,,,,191,3694.0322265625,402574496.0,805141632.0,,,,,,
,,,,192,3693.988037109375,429259072.0,858510784.0,,,,,,
,,,,193,3693.99169921875,367771200.0,735535040.0,,,,,,
,,,,194,3694.03125,382075104.0,764142848.0,,,,,,
,,,,195,3694.0048828125,410049984.0,820092608.0,,,,,,
,,,,196,3693.98876953125,377285408.0,754563456.0,,,,,,
,,,,197,3694.01513671875,432418144.0,864828928.0,,,,,,
,,,,198,3694.01953125,373493504.0,746979648.0,,,,,,
,,,,199,3693.961181640625,330708992.0,661410624.0,,,,,,
,9,,,799,,,,405743904.0,811480320.0,3694.003662109375,,,
,9,,,799,,,,,,,3519.923095703125,810764864.0,405385856.0
