train_loss_step,step,epoch,train_main_loss_step,train_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,72,,,,897347776.0,448676896.0,3007.667236328125,,,,,,
,73,,,,698141440.0,349073728.0,3007.66796875,,,,,,
,74,,,,916225216.0,458115616.0,3007.646728515625,,,,,,
,75,,,,873960192.0,436983104.0,3007.631591796875,,,,,,
,76,,,,805542720.0,402774368.0,3007.65283203125,,,,,,
,77,,,,703192576.0,351599296.0,3007.630615234375,,,,,,
,78,,,,924343808.0,462174912.0,3007.648193359375,,,,,,
,79,,,,719859648.0,359932832.0,3007.63134765625,,,,,,
,319,3,,,,,,414237088.0,828468096.0,3007.644287109375,,,
,319,3,,,,,,,,,2864.90380859375,413042304.0,826078976.0
443865824.0,349,4,887726144.0,2743.288818359375,,,,,,,,,
409110080.0,399,4,818214848.0,2644.689208984375,,,,,,,,,
,80,,,,923584192.0,461794944.0,2843.755126953125,,,,,,
,81,,,,758140416.0,379073056.0,2843.72705078125,,,,,,
,82,,,,796681344.0,398343520.0,2843.766357421875,,,,,,
,83,,,,855734656.0,427870176.0,2843.74365234375,,,,,,
,84,,,,936002432.0,468004064.0,2843.73681640625,,,,,,
,85,,,,861006784.0,430506240.0,2843.72119140625,,,,,,
,86,,,,820557440.0,410281568.0,2843.7470703125,,,,,,
,87,,,,668385792.0,334195744.0,2843.745361328125,,,,,,
,88,,,,904702592.0,452354144.0,2843.748291015625,,,,,,
,89,,,,876484864.0,438245280.0,2843.729248046875,,,,,,
,90,,,,872634880.0,436320288.0,2843.739990234375,,,,,,
,91,,,,743268160.0,371636928.0,2843.755126953125,,,,,,
,92,,,,896165824.0,448085760.0,2843.767578125,,,,,,
,93,,,,697129024.0,348567360.0,2843.76806640625,,,,,,
,94,,,,915037696.0,457521696.0,2843.74755859375,,,,,,
,95,,,,872812928.0,436409312.0,2843.731689453125,,,,,,
,96,,,,804428416.0,402217056.0,2843.751708984375,,,,,,
,97,,,,702184832.0,351095264.0,2843.73193359375,,,,,,
,98,,,,923150912.0,461578304.0,2843.7490234375,,,,,,
,99,,,,718790976.0,359398336.0,2843.732421875,,,,,,
,399,4,,,,,,413674976.0,827344128.0,2843.744384765625,,,
,399,4,,,,,,,,,2723.68701171875,412647968.0,825290496.0
