train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
,,80,,,2557.54736328125,838726912.0,419366016.0,,,,,,
,,81,,,2557.588134765625,928722368.0,464363744.0,,,,,,
,,82,,,2557.5556640625,903800000.0,451902560.0,,,,,,
,,83,,,2557.5556640625,783892480.0,391948800.0,,,,,,
,,84,,,2557.60107421875,725593728.0,362799424.0,,,,,,
,,85,,,2557.55029296875,821893952.0,410949536.0,,,,,,
,,86,,,2557.54638671875,969534208.0,484769664.0,,,,,,
,,87,,,2557.5732421875,864765440.0,432385280.0,,,,,,
,,88,,,2557.59521484375,824065728.0,412035424.0,,,,,,
,,89,,,2557.5771484375,787463872.0,393734496.0,,,,,,
,,90,,,2557.577392578125,742583168.0,371294144.0,,,,,,
,,91,,,2557.561279296875,882055360.0,441030240.0,,,,,,
,,92,,,2557.593994140625,735962880.0,367984000.0,,,,,,
,,93,,,2557.5751953125,669174848.0,334589984.0,,,,,,
,,94,,,2557.575439453125,1012873728.0,506439424.0,,,,,,
,,95,,,2557.56884765625,820973056.0,410489088.0,,,,,,
,,96,,,2557.551025390625,890364416.0,445184768.0,,,,,,
,,97,,,2557.616455078125,835163776.0,417584448.0,,,,,,
,,98,,,2557.53271484375,978437504.0,489221312.0,,,,,,
,,99,,,2557.605712890625,770354816.0,385179968.0,,,,,,
,4,399,,,,,,2557.572509765625,839320064.0,419662592.0,,,
,4,399,,,,,,,,,414184800.0,828364736.0,2411.644775390625
418024480.0,5,449,2257.900634765625,836044416.0,,,,,,,,,
,,100,,,2417.791015625,836595904.0,418300384.0,,,,,,
,,101,,,2417.8271484375,926437696.0,463221280.0,,,,,,
,,102,,,2417.800048828125,901596544.0,450800704.0,,,,,,
,,103,,,2417.79931640625,781880448.0,390942656.0,,,,,,
,,104,,,2417.839111328125,723649408.0,361827136.0,,,,,,
,,105,,,2417.79150390625,819818176.0,409911520.0,,,,,,
,,106,,,2417.787841796875,967223936.0,483614400.0,,,,,,
,,107,,,2417.81494140625,862580480.0,431292672.0,,,,,,
,,108,,,2417.83447265625,821960704.0,410982784.0,,,,,,
,,109,,,2417.817138671875,785462016.0,392733440.0,,,,,,
,,110,,,2417.8173828125,740600960.0,370302912.0,,,,,,
,,111,,,2417.80224609375,879874304.0,439939584.0,,,,,,
,,112,,,2417.832763671875,734025664.0,367015264.0,,,,,,
,,113,,,2417.8154296875,667331072.0,333667968.0,,,,,,
,,114,,,2417.8173828125,1010465856.0,505235360.0,,,,,,
,,115,,,2417.809814453125,818878720.0,409441792.0,,,,,,
,,116,,,2417.791259765625,888227904.0,444116384.0,,,,,,
,,117,,,2417.856201171875,833059328.0,416532096.0,,,,,,
,,118,,,2417.7763671875,976094464.0,488049664.0,,,,,,
,,119,,,2417.84326171875,768359488.0,384182176.0,,,,,,
,5,479,,,,,,2417.813232421875,837206208.0,418605568.0,,,
,5,479,,,,,,,,,413436544.0,826868672.0,2277.37646484375
358449920.0,6,499,2190.476806640625,716895488.0,,,,,,,,,
394725248.0,6,549,2115.119140625,789446272.0,,,,,,,,,
